Date,Booking_status,level_3,level_4,level_5,level_6,JourneyDate,BookingStatus,TrainNo,ClassOfTravel,ChartingStatus
2017-01-19,W/L,0,0,"3,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-01-19,W/L,0,0,"2,TQ	*12864	",2A	A1,0,",",47.0,0,0.0
2017-01-20,W/L,0,0,"1,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-01-19,W/L,0,"61,TQ	*12864	",SL	W/L,0,0,35,0.0,0,0.0
2017-01-19,W/L,0,"15,TQ	*12864	",SL	W/L,0,0,0,6.0,0,0.0
2017-01-20,W/L,0,"11,TQ	*12864	",SL	W/L,0,0,0,3.0,0,0.0
2017-01-20,W/L,0,"16,TQ	*12864	",SL	W/L,0,0,0,4.0,0,0.0
2017-01-21,W/L,0,0,"7,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-01-21,W/L,0,0,"9,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-01-20,W/L,0,"47,TQ	*12864	",SL	W/L,0,0,24,0.0,0,0.0
2017-01-21,W/L,0,"13,TQ	*12864	",3A	B1,0,",",24,0.0,0,0.0
2017-01-22,W/L,0,"24,TQ	*12864	",SL	W/L,0,0,0,4.0,0,0.0
2017-01-22,W/L,0,0,"4,TQ	*12864	",SL	S12,",",0,4.0,0,0.0
2017-01-22,W/L,0,0,"8,TQ	*12864	",SL	S7,0,",",29.0,0,0.0
2017-01-22,W/L,0,"12,TQ	*12864	",3A	B1,0,",",26,0.0,0,0.0
2017-01-22,W/L,0,0,"4,TQ	*12864	",3A	B1,0,",",63.0,0,0.0
2017-01-22,W/L,0,0,"1,TQ	*12864	",SL	S7,0,",",14.0,0,0.0
2017-01-25,W/L,0,"21,TQ	*12864	",SL	S10,",",0,7,0.0,0,0.0
2017-01-25,W/L,0,"47,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-25,W/L,0,"25,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-28,W/L,0,"12,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-28,W/L,0,"22,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-28,W/L,0,"69,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-29,W/L,0,"10,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-29,W/L,0,"14,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-01-30,W/L,0,0,"1,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-01-29,W/L,0,"72,TQ	*12864	",SL	S8,0,",",46,0.0,0,0.0
2017-01-30,W/L,0,0,"4,TQ	*12864	",SL	W/L-,2,0,0.0,0,0.0
2017-01-30,W/L,0,"28,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-30,W/L,0,0,"1,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-01-30,W/L,0,"34,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-30,W/L,0,"13,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-01-30,W/L,0,"26,TQ	*12864	",SL	S2,0,",",0,9.0,0,0.0
2017-01-30,W/L,0,"47,TQ	*12864	",SL	W/L-23,0,0,0,0.0,0,0.0
2017-01-30,W/L,0,"25,TQ	*12864	",SL	W/L-,9,0,0,0.0,0,0.0
2017-01-30,W/L,0,0,"6,TQ	*12864	",SL	W/L-,1,0,0.0,0,0.0
2017-02-03,W/L,0,0,"5,TQ	*12864	",SL	S4,0,",",21.0,0,0.0
2017-02-03,W/L,0,0,"2,TQ	*12864	",3A	B3,0,",",0.0,5,0.0
2017-02-03,W/L,0,"12,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-02-03,W/L,0,"70,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-02-03,W/L,0,0,"7,TQ	*12864	",3A	B2,0,",",0.0,6,0.0
2017-02-03,W/L,0,"39,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-02-03,W/L,0,0,"5,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-02-04,W/L,0,"69,TQ	*12864	",SL	W/L-31,0,0,0,0.0,0,0.0
2017-03-28,W/L,0,0,"2,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-03-28,W/L,0,"18,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-03-28,W/L,0,"26,TQ	*12864	",SL	W/L,0,0,16,0.0,0,0.0
2017-03-29,W/L,0,0,"2,TQ	*12864	",3A	B2,0,",",0.0,3,0.0
2017-03-28,W/L,0,0,"3,TQ	*12864	",3A	B2,0,",",0.0,6,0.0
2017-03-28,W/L,0,"10,TQ	*12864	",SL	W/L,0,0,0,8.0,0,0.0
2017-03-30,W/L,0,0,"3,TQ	*12864	",3A	B2,0,",",62.0,0,0.0
2017-03-29,W/L,0,"69,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-30,W/L,0,"48,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-30,W/L,0,"59,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-29,W/L,0,"37,TQ	*12864	",SL	S7,0,",",30,0.0,0,0.0
2017-03-30,W/L,0,"12,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-03-31,W/L,0,"14,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-03-31,W/L,0,0,"3,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-03-31,W/L,"123,TQ	*12864	",SL	W/L,0,0,63,0,0.0,0,0.0
2017-03-31,W/L,0,"37,TQ	*12864	",SL	W/L,0,0,23,0.0,0,0.0
2017-03-31,W/L,0,"86,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-31,W/L,0,"40,TQ	*12864	",SL	W/L,0,0,25,0.0,0,0.0
2017-04-01,W/L,0,0,"6,TQ	*12864	",SL	S7,0,",",0.0,8,0.0
2017-03-31,W/L,0,"80,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-30,W/L,0,"81,TQ	*12864	",SL	W/L,0,0,38,0.0,0,0.0
2017-03-31,W/L,0,"57,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-03-31,W/L,0,"34,TQ	*12864	",SL	W/L,0,0,22,0.0,0,0.0
2017-03-31,W/L,0,"22,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-01,W/L,0,"89,TQ	*12864	",SL	W/L,0,0,39,0.0,0,0.0
2017-03-31,W/L,0,0,"7,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-03-31,W/L,0,"13,TQ	*12864	",3A	W/L,0,0,0,6.0,0,0.0
2017-03-31,W/L,0,"82,TQ	*12864	",SL	W/L,0,0,48,0.0,0,0.0
2017-04-01,W/L,"108,TQ	*12864	",SL	W/L,0,0,54,0,0.0,0,0.0
2017-04-01,W/L,0,"35,TQ	*12864	",SL	W/L,0,0,11,0.0,0,0.0
2017-04-02,W/L,0,0,"9,TQ	*12864	",SL	W/L,0,0,0.0,2,0.0
2017-04-01,W/L,0,"20,TQ	*12864	",SL	W/L,0,0,0,8.0,0,0.0
2017-04-01,W/L,0,"21,TQ	*12864	",SL	W/L,0,0,0,9.0,0,0.0
2017-04-03,W/L,0,0,"1,TQ	*12864	",3A	B1,0,",",19.0,0,0.0
2017-04-01,W/L,0,"48,TQ	*12864	",SL	W/L,0,0,17,0.0,0,0.0
2017-04-02,W/L,0,"42,TQ	*12864	",SL	W/L,0,0,14,0.0,0,0.0
2017-04-01,W/L,0,"36,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-02,W/L,0,"68,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-02,W/L,"107,TQ	*12864	",SL	W/L,0,0,55,0,0.0,0,0.0
2017-04-03,W/L,0,"28,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-03,W/L,0,"27,TQ	*12864	",SL	W/L,0,0,0,6.0,0,0.0
2017-04-04,W/L,0,0,"4,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-04-04,W/L,0,0,"7,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-04-04,W/L,0,0,"9,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-04-04,W/L,0,"11,TQ	*12864	",SL	W/L,0,0,0,8.0,0,0.0
2017-04-04,W/L,0,"42,TQ	*12864	",SL	W/L,0,0,17,0.0,0,0.0
2017-04-04,W/L,0,"17,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-04,W/L,0,0,"3,TQ	*12864	",SL	S12,",",34,0.0,0,0.0
2017-04-05,W/L,0,0,"9,TQ	*12864	",3A	W/L,0,0,0.0,3,0.0
2017-04-05,W/L,0,0,"7,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-04-05,W/L,0,0,"2,TQ	*12864	",3A	W/L,0,0,0.0,1,0.0
2017-04-05,W/L,0,"71,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-06,W/L,0,"20,TQ	*12864	",SL	W/L,0,0,0,7.0,0,0.0
2017-04-06,W/L,0,"50,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-06,W/L,0,"37,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-06,W/L,0,"73,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,0,"9,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-04-06,W/L,0,"27,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,0,"6,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-04-07,W/L,0,"14,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,"23,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,"47,TQ	*12864	",SL	W/L,0,0,19,0.0,0,0.0
2017-04-08,W/L,0,0,"2,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-04-07,W/L,0,"24,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,"31,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,"73,TQ	*12864	",SL	W/L,0,0,31,0.0,0,0.0
2017-04-07,W/L,0,"49,TQ	*12864	",SL	W/L,0,0,20,0.0,0,0.0
2017-04-08,W/L,0,"28,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,0,"2,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-04-09,W/L,0,0,"1,TQ	*12864	",3A	W/L,0,0,0.0,1,0.0
2017-04-08,W/L,0,"31,TQ	*12864	",3A	W/L,0,0,0,6.0,0,0.0
